Inputs,True Keywords,True Keywords in Abstract,Predictions,Precision,Recall
"Research summary: Because employees can provide a firm with human capital advantages over competitors, firms invest considerably in employee recruiting and retention. Departing from the retention imperative of strategic human capital management, we propose that certain employee departures can enhance a firm's competitiveness in the labor market. Specifically, increased rates of career-advancing departures by a firm's employees can signal to potential future employees that the firm offers a prestigious employment experience that enhances external mobility opportunities. Characterizing advancement based on subsequent employers and positions, we analyze data on U.S. law firm hiring and industry surveys of perceived firm status between 2004 and 2013. We find that increased rates of employee departures lead to increases in a firm's prestige when these departures are for promotions with high-status competitors. Managerial summary: Firms often emphasize employee retention. Employee departures, especially as a result of being hired away by competitors, are often viewed as threats to a firm's competitive advantage. We propose, however, that employee retention need not be an unconditional strategic imperative. We argue that certain employee departures can enhance a firm's competitiveness in the market for human capital by signaling to potential employees that the firm offers a prestigious employment experience, which can help them obtain attractive positions with other employers. Analyzing data on U.S. law firm hiring and industry surveys of firm associates between 2004 and 2013, we find that increased rates of employee departures lead to increases in a firm's prestige when these departures are for promotions with high-status competitors. Copyright (C) 2016 John Wiley & Sons, Ltd.","['employee mobility', 'firm status', 'labor market', 'human capital', 'hiring', 'VOLUNTARY TURNOVER', 'JOB-SATISFACTION', 'MOBILITY', 'PERFORMANCE', 'KNOWLEDGE', 'MODEL', 'HETEROGENEITY', 'ADVANTAGE', 'ORGANIZATIONS', 'EMBEDDEDNESS']","['firm status', 'labor market', 'human capital', 'hiring', 'mobility', 'advantage']","['human capital', 'promotions']",0.5,0.16666666666666666
"The acquisition of relevant knowledge plays a critical role in the internationalization process. Yet a complete understanding of internationalization knowledge (IK) remains largely unexplored in the international marketing literature. The authors develop a framework that distinguishes three categories of IK necessary for internationalizing firms to gain market entry, localize strategies, and organize international enterprise procedures. Employing a longitudinal qualitative analysis of ten internationalizing firms, this study examines (1) why firms need these IK categories, (2) where they source them, and (3) at what stage of international growth they are needed. The authors conclude by addressing implications for practice and recommend that managers should source the specific IK needed before it becomes critical.","['knowledge management', 'internalization', 'market entry', 'market development', 'interorganizational strategy', 'RESOURCE-BASED VIEW', 'STRATEGY PROCESS', 'FIRM', 'CAPABILITIES', 'PERFORMANCE', 'EXPERIENCE', 'MODEL', 'ENTRY', 'PERSPECTIVES', 'ACQUISITION']","['market entry', 'firm', 'entry', 'acquisition']",['qualitative'],0.0,0.0
"We explore the impact of privacy disclosures on online shoppers' trust in an e-tailer through a two-phase study. In the first study, we use a between-subjects factorial design to test whether the presence of an online privacy policy influences consumer trust and find that consumers are likely to respond more favorably to a shopping site with a clearly stated privacy message than to one without it, especially when privacy risk is high. In our second experiment, we examine the effects of different forms of privacy disclosures. The results suggest that online shoppers find a short, straightforward privacy statement more comprehensible than a lengthy, legalistic one. However, how a privacy policy is presented (in terms of wording) does not affect a shopper's trust in the store to any significant degree. (c) 2006 New York University. Published by Elsevier Inc. All rights reserved.","['privacy policy', 'privacy risk', 'consumer trust', 'e-tailer', 'experiment', 'INFORMATION LOAD', 'QUALITY']","['privacy policy', 'privacy risk', 'consumer trust', 'e tailer', 'experiment']","['privacy disclosures', 'online shoppers trust', 'trust', 'risk']",0.0,0.0
"Assigning credit and blame to others for their successful and unsuccessful performances is a ubiquitous, yet relatively unstudied, process in organizations. Using a sample of 120 accountants, we assessed three predictors of the assignment of credit and blame-self-handicapping, type of causal account, and performance outcome-and two consequences of such assignment: reward allocation and impressions of an actor. Use of self-handicapping and external causal accounts diminished observers' assignments of blame for failure. In contrast, self-handicapping and causal accounts did not influence assignment of credit for success. Assignment of credit and blame significantly predicted reward allocation and impressions of the actor. We discuss implications for theory and practice and directions for future research.","['nan', 'IMPRESSION MANAGEMENT', 'SELF', 'ATTRIBUTIONS', 'INFORMATION', 'HANDICAPS', 'POLITICS', 'BEHAVIOR', 'SUCCESS', 'IMPACT', 'WORK']","['self', 'success']",['consequences'],0.0,0.0
"How does entrepreneurial leadership drive the process of forming and advancing opportunity? Drawing from an ethnographic field study of Nashville music producers, I develop a model of entrepreneurial leadership as creative brokering - the practices and process by which entrepreneurs lead and mobilize a complex network of actors in co-creating and advancing opportunity. I find that entrepreneurial leaders encounter three tensions as they advance this process: 1) generating novel ideas and fitting them within the competitive landscape; 2) incubating opportunity and seizing the moment in the market; and 3) fostering experimentation and navigating hyper-competition. I show when these tensions arise and identify six creative brokering practices through which leaders leverage their brokerage role to navigate these tensions in order to move opportunity forward. The paper offers a model of entrepreneurial leadership as creative brokering, extends extant creative brokering scholarship to consider more distal market actors, and shows how creative brokering and leadership towards creative outcomes involve iteratively stepping forward to infuse market perspective and exert control, and stepping back to let others shine and co-create ideas.","['brokerage and brokering', 'creativity', 'entrepreneurial leadership', 'ethnography', 'process', 'VENTURE PERFORMANCE', 'TERTIUS IUNGENS', 'PERCEPTIONS', 'BEHAVIOR', 'GROWTH', 'INNOVATION', 'DISCOVERY', 'SKILL', 'FIELD']","['entrepreneurial leadership', 'process', 'field']",[],0,0.0
"Consumers can experience major life events (e.g., the birth of a child or retirement) that have key strategic managerial implications for firms in terms of creating new market segments as well as preventing defection from existing brands. Therefore, in the context of a consumer-based strategy, this study investigates whether life events change actual purchase behavior as well as how three important and managerially actionable consumer difference variables (consumer innovativeness, the variety seeking tendency, and price consciousness) mediate this link. Purchase records of an individual-level consumer panel, combined with demographic and survey data over a three-year period, indicate that there is a direct link between life events and changes in share of wallet (SOW) and share of units (SOU) for the preferred brand in a product category. Further, experiencing a life event leads to an increase in consumer innovativeness that, in turn, decreases SOW/SOU for the preferred brand for some purchases, while at the same time leading to a decrease in consumers' variety seeking tendency and price consciousness for others that, in turn, lead to an increase in SOW/SOU. These findings suggest a paradox of change that can both enhance and inhibit purchasing new brands. Finally, the effects of first-time life events (i.e., significant markers in the course of life that occur for the first time) are stronger than the effects of repeated life events, and life events with a positive economic impact have a strong negative effect on change in price consciousness.","['Life events', 'Consumer innovativeness', 'Variety seeking tendency', 'Price consciousness', 'LEVEL', 'BRAND', 'IMPACT', 'PERSONALITY', 'CATEGORY', 'BEHAVIOR', 'MODEL', 'SHARE', 'PERSPECTIVES', 'STRATEGY']","['life events', 'consumer innovativeness', 'variety seeking tendency', 'price consciousness', 'level', 'brand', 'impact', 'category', 'behavior', 'share', 'strategy']","['consumer innovativeness', 'variety seeking', 'price consciousness']",0.6666666666666666,0.18181818181818182
"In an effort to respond to concerns regarding academic rigor expressed in the 1950s, management researchers turned to more established disciplines to help develop a stronger intellectual climate. We examine the evolution of management research over the past 25 years, with a focus on its relationship with the related disciplines of economics, psychology, and sociology. Using citation data for all Academy of Management Journal articles published between 1980 and 2005, we document the temporal changes in disciplinary interlinkages. We discuss the implications of these findings for the current and future state of our field.","['nan', 'FIRM SURVIVAL', 'ECONOMICS', 'ENTRY', 'CAPABILITIES', 'PRODUCERS', 'EVOLUTION']","['economics', 'evolution']",[],0,0.0
"Consumer research has paid scant attention to public goods, especially at a time when the contestation between categorizing public and private goods and controlling public goods is pronounced. In this multisited ethnography, we explore the ways in which active consumers negotiate meanings about the consumption of a particular public good, public space. Using the context of street art, we document four main ideologies of public space consumption that result from the interaction, both conflict and common intent, of urban dwellers and street artists. We show how public space can be contested as private and commercialized, or offered back as a collective good, where sense of belonging and dialogue restore it to a meaningful place. We demonstrate how the common nature of space both stimulates dialectical and dialogical exchanges across stakeholders and fuels forms of layered agency.","['nan', 'CONSUMPTION', 'SPEAKING', 'APPROPRIATION', 'SERVICESCAPES', 'ETHNOGRAPHY', 'IMAGINATION', 'CONSUMERS', 'BEHAVIOR', 'CULTURE', 'INQUIRY']","['consumption', 'ethnography', 'consumers']","['public goods', 'ethnography', 'street art']",0.3333333333333333,0.3333333333333333
"Although the concept of absorptive capacity has gained wide acceptance in the literature, our understanding of the origins of a firm's ability to absorb and leverage new knowledge is limited. Drawing on Coleman's (1990) bathtub framework for macro-micro-macro-relations in social science, this study explores the multilevel antecedents of absorptive capacity using survey data gathered from 342 informants at different levels of analysis in 106 medical technology firms. Multilevel structural equation modeling analyses indicate that formal and informal integration mechanisms are positively related to absorptive capacity at the organizational level and that this relationship is mediated through a microlevel process. The findings reveal that knowledge workers' cognitive process of perspective taking and their creative behavior are important microfoundations of absorptive capacity. Moreover, the results emphasize the critical role of key employees in explaining firm-level heterogeneity in building organizational capabilities.","['absorptive capacity', 'microfoundations', 'organizational capabilities', 'perspective taking', 'multilevel analysis', 'PERSPECTIVE-TAKING', 'ORGANIZATIONAL ANTECEDENTS', 'DYNAMIC CAPABILITIES', 'MULTIPLE LEVELS', 'KNOWLEDGE', 'MULTILEVEL', 'INNOVATION', 'PERFORMANCE', 'CREATIVITY', 'ROUTINES']","['absorptive capacity', 'microfoundations', 'organizational capabilities', 'perspective taking', 'perspective taking', 'knowledge', 'multilevel']",['medical technology'],0.0,0.0
"This study draws on depth interviews with 49 managers in customer firms and 55 managers in supplier firms and on discussions with 21 managers in two focus groups to propose a new way of thinking about customer solutions. Extant literature and suppliers interviewed for this study view a solution as a customized and integrated combination of goods and services for meeting a customer's business needs. In contrast, customers view a solution as a set of customer-supplier relational processes comprising (1) customer requirements definition, (2) customization and integration of goods and/or services and (3) their deployment, and (4) postdeployment customer support, all of which are aimed at meeting customers' business needs. The relational process view can help suppliers deliver more effective solutions at profitable prices. In addition, field research suggests that the effectiveness of a solution depends not only on supplier variables but also on several customer variables. Supplier variables include contingent hierarchy, documentation emphasis, incentive externality, customer interactor stability, and process articulation. Customer variables include adaptiveness to supplier offerings and political and operational counseling that a customer provides to a supplier. Several of these variables underscore the importance of suppliers developing social capital with customers. The authors discuss implications for solution suppliers and identify areas for further research.","['nan', 'DOMINANT LOGIC', 'TECHNOLOGY', 'PERFORMANCE', 'MANAGEMENT', 'SEARCH', 'MODEL']",['search'],[],0,0.0
"This study tests the implications of tournament theory using data on 100 U.K. stock market companies, covering over 500 individual executives, in the late 1990s. Our results provide some evidence consistent with the operation of tournament mechanisms within the U.K. business context. Firstly, we find a convex relationship between executive pay and organizational level and secondly, that the gap between CEO pay and other board executives (i.e., tournament prize) is positively; related to the number of participants in the tournament. However, we also show that the variation in executive team pay has little role in determining company performance. Copyright (C) 2001 John Wiley & Sons, Ltd.","['executive compensation', 'tournament theory', 'MANAGERIAL INCENTIVES', 'PERFORMANCE', 'PAY', 'TOP', 'REMUNERATION', 'OWNERSHIP', 'CEOS']","['tournament theory', 'performance', 'pay']","['tournament theory', 'pay', 'performance']",1.0,1.0
"In this article, we review and summarize the literature on cross-functional organization forms that has been published since 1976. We focus on the commonalities of the literatures that deal with matrix organization and project management. With a definition of cross-functional organization in hand, we review the literature for advantages and disadvantages of these organization forms, ending the section with a discussion of the great need for empirical research to resolve numerous questions and paradoxes. Finally, we review a model for effective cross-functional organizations, comprising environmental influences, organizational characteristics, project characteristics, project team characteristics, project leader characteristics, and project effectiveness. Each section ends with a discussion of needed research, and the article ends with a call for research and theory building regarding cross-functional organizations, which continue to grow in application importance.","['nan', 'PERFORMANCE', 'IMPLEMENTATION', 'TECHNOLOGY', 'SUCCESS', 'DESIGN', 'TEAMS', 'COMMUNICATION', 'MODEL', 'WORK']",['model'],[],0,0.0
We consider boards as human groups in the uppermost echelon of corporations and examine how an informal hierarchy that tacitly forms among a firm's directors affects firm financial performance. This informal hierarchy is based on directors' deference for one another. We argue that the clarity of the informal hierarchy can help coordinate boardroom interactions and thereby improve the likelihood of the board's contributing productively to the firm's performance. We further identify a set of internal and external contingencies affecting the functioning of the informal hierarchy. Our analysis of seven-year panel data on 530 U.S. manufacturing firms provides support for our arguments.,"['nan', 'CORPORATE GOVERNANCE', 'STRATEGIC PERSISTENCE', 'SOCIAL-STRUCTURE', 'BEHAVIOR', 'DIRECTORS', 'AGENCY', 'CONSEQUENCES', 'MANAGEMENT', 'HETEROGENEITY', 'INDEPENDENCE']",['directors'],[],0,0.0
"Virtual customer environments (VCE), which provide services ranging from online discussion forums to virtual design toolkits, enable firms to involve their customers in innovation and value creation. Evidently, companies can benefit from operating such VCEs; however, most firms do not seem to attach sufficient importance to the nature of customers' interactions in the VCE. In this study, we examine two critical implications of customers' interactions in a product-support focused VCE. First, we suggest that customers' perceptions of interaction-based benefits will shape their future participation in product support in the VCE. Second, customers' interactions will also generate changes in their affective states, and these, in turn, influence their attitude towards the firm. Our empirical work provides broad support for the study hypotheses and implies the need for firms to carefully design and implement VCEs that facilitate positive interaction experiences for customers. Implications with respect to customer value co-creation and customer relationship management are discussed.","['nan', 'BRAND COMMUNITY', 'SOCIAL-INFLUENCE', 'INNOVATION', 'INTERNET', 'INFORMATION', 'ONLINE', 'USERS', 'FIRM', 'GRATIFICATIONS', 'PARTICIPATION']","['innovation', 'online', 'firm', 'participation']",['product support'],0.0,0.0
"The authors revisit the evidence presented in Martinez et al. using new data and estimation techniques that take into account unobserved firm heterogeneity. The results of the earlier study are found to be robust to the new procedures because performance of family-controlled firms continues to be superior to that of nonfamily firms. The authors then add the risk dimension to the earlier analysis using a risk-adjusted return on assets (ROA) variable, and family-controlled firms again performed better. A test of the standard deviations of ROA for both firm categories revealed that family-controlled firms not only perform better but also show less volatility in their returns.","['family-controlled firms', 'performance', 'ROA', 'risk', 'returns volatility', 'nan']","['family controlled firms', 'performance', 'roa', 'risk']",['unobserved'],0.0,0.0
"This study examines how multiple blockholder structures affect family firm performance. Building on arguments from both principal-principal agency and familiness perspectives, we suggest that asymmetrical distribution of voting power among family and nonfamily blockholders hurts firm performance. Further, we suggest that the larger the number of blockholder types, the stronger the negative effect of voting-power asymmetry among family and nonfamily blockholders on firm performance. We provide empirical support for our hypotheses using a longitudinal sample of 413 French family firms over the 1992-2012 period.","['family business', 'blockholders', 'principal-principal agency costs', 'familiness', 'RESEARCH-AND-DEVELOPMENT', 'INSTITUTIONAL INVESTORS', 'CORPORATE GOVERNANCE', 'SOCIOEMOTIONAL WEALTH', 'LARGE SHAREHOLDERS', 'BOARD SIZE', 'OWNERSHIP', 'BUSINESS', 'MARKET', 'FAMILINESS']","['blockholders', 'familiness', 'familiness']",['performance'],0.0,0.0
"Along with other affective and emotional dimensions, passion is at the heart of entrepreneurship. Yet past research on entrepreneurial passion (EP) has been hindered by the lack of a sound measurement instrument. Through a series of empirical studies conducted with samples from relevant populations, we develop and validate an instrument to capture EP and its inherent dimensions. We show that the task-specific dimensions of EP (intense positive feelings toward the domains of inventing, founding and developing, and the centrality of these domains to entrepreneurs' self-identity) are conceptually and empirically distinct from one another, and from other emotions and cognitions known to play a role in entrepreneurship. Our theory and results indicate that proper measurement of entrepreneurial passion incorporates the interaction between entrepreneurs' feelings and identity centrality for each domain. We discuss the implications of our model, instrument and findings for future research on the affective components of innovation and entrepreneurship. We also develop specific guidelines for using our validated instrument in future research. (C) 2012 Elsevier Inc. All rights reserved.","['Entrepreneur', 'Passion', 'Scale development', 'Affect', 'Emotion', 'FORMATIVE MEASUREMENT', 'JOB-SATISFACTION', 'METHOD VARIANCE', 'IDENTITY', 'CREATIVITY', 'MODEL', 'FIT', 'SPECIFICATION', 'REPLICATION', 'STRATEGIES']","['entrepreneur', 'passion', 'affect', 'emotion', 'identity', 'model']","['passion', 'centrality', 'self identity', 'innovation']",0.25,0.16666666666666666
"In the Spanish automobile market between 1990 and 2000, significant reductions in tariff and nontariff protections increased the complexity of the product space, through the penetration of new car brands and models. Acknowledging these environmental dynamics, this study details conditions in which across-niche (product breadth or intraindustry diversification) and within-niche (product depth or versioning) product proliferation exerts a positive relationship on firm performance, as well as how key relationships change according to the complexity of the product space in the industry. Copyright (c) 2013 John Wiley & Sons, Ltd.","['product proliferation', 'firm performance', 'automobile industry', 'complexity', 'product portfolio', 'WITHIN-INDUSTRY DIVERSIFICATION', 'CONSIDERATION SET COMPOSITION', 'NICHE WIDTH', 'EMPIRICAL-ANALYSIS', 'BRAND EXTENSIONS', 'COMPETITIVE ADVANTAGE', 'AUTOMOBILE-INDUSTRY', 'SOFTWARE INDUSTRY', 'AUTO INDUSTRY', 'CHOICE MODEL']","['product proliferation', 'firm performance', 'complexity']","['diversification', 'firm performance']",0.5,0.3333333333333333
"In the entrepreneurial setting, financial intermediaries such as venture capital firms (VCs) are perhaps the dominant source of selection shaping the environment within which new ventures evolve. VCs affect selection both by acting as a scout able to identify future potential and as a coach that can help realize it. Despite the large literature on the role of VCs in encouraging startups, it, is generally taken for granted that VCs are expert scouts and coaches, and so the ways in which VCs actually enhance startup performance are not well understood. In this study, we examine whether VCs' emphasize picking winners or building them by comparing the effects of startups' alliance, intellectual, and human capital characteristics on VCs decisions to finance them with the effects of the same characteristics on future startup performance. Our findings point to a joint logic that combines the roles: VCs finance startups that have strong technology, but are at risk of failure in the short run, and so in need of management expertise. Our findings thus support the belief in VC expertise, but only to a point. VCs also appear to make a common attribution error overemphasizing startups' human capital when making their investment decisions. (C) 2003 Elsevier Inc. All rights reserved.","['alliance capital', 'intellectual capital', 'human capital', 'DECISION', 'NETWORKS', 'DYNAMICS', 'MARKET', 'EMBEDDEDNESS', 'COOPERATION', 'COMPETITION', 'INNOVATION', 'LINKAGES', 'STRATEGY']","['human capital', 'decision']",['venture capital firms'],0.0,0.0
"This paper uses Giddens' theory of structuration to develop the conception of entrepreneurship as an embedded socio-economic process. The qualitative examination of the actions of rural entrepreneurs finds that embeddedness plays a key role in shaping and sustaining business. Being embedded in the social structure creates opportunity and improves performance. Embedding enabled the entrepreneurs to use the specifics of the environment. Thus, both recognition and realisation of opportunity are conditioned by the entrepreneurs' role in the social structure. (C) 2002 Elsevier Science Inc. All rights reserved.","['entrepreneurship', 'social embeddedness', 'social context', 'SOCIAL-STRUCTURE']","['entrepreneurship', 'social structure']",['entrepreneurship'],1.0,0.5
"It is commonly asserted that the field of strategic management is fragmented and lacks a coherent identity. This skepticism, however, is paradoxically at odds with the great success that strategic management has enjoyed. How might one explain this paradox? We seek answers to this question by relying first on a large-scale survey of strategic management scholars from which we derive an implicit consensual definition of the field-as tacitly held by its members. We then supplement this implicit definition with an examination of the espoused definitions of the field obtained from a group of boundary-spanning scholars. Our findings suggest that strategic management's success as afield emerges from an underlying consensus that enables it to attract multiple perspectives, while still maintaining its coherent distinctiveness. Copyright (C) 2007 John Wiley & Sons, Ltd.","['strategic management', 'academic communities', 'linguistics', 'ORGANIZATIONAL SCIENCE', 'COMPETITIVE ADVANTAGE', 'PRODUCT DEVELOPMENT', 'BARRIERS', 'FIRM', 'COMPENSATION', 'ISOMORPHISM', 'PERFORMANCE', 'PSYCHOLOGY', 'INNOVATION']",['strategic management'],"['strategic management', 'boundary spanning']",0.5,1.0
"To build profitable market positions, new ventures have to address multiple challenges on several fronts. These ventures can compete by being simple (focused) or applying varied ways to compete. The likelihood of these ventures remaining competitive depends on their ability to build novelty into their products and operations, an activity that requires infusing knowledge into their operations. Most ventures, however, have limited knowledge bases and the reach (scope) of their external connections is limited, a factor that prompts them to tap into different external sources in their local areas. This article reports an empirical study of 140 new ventures located in seven regional clusters in Spain. The results show that new ventures can enrich the variety of their strategic repertoire by accessing diverse sources of external knowledge and being exposed to external novel knowledge, while absorptive capacity moderates this relationship. The degree of social development of these clusters also has a positive impact on the strategic variety of new ventures, exhibiting an inverted U-shape curve. (C) 2011 Elsevier Inc. All rights reserved.","['Strategic variety', 'New ventures', 'External knowledge', 'Absorptive capacity', 'Regional clusters', 'ABSORPTIVE-CAPACITY', 'FIRM SURVIVAL', 'PERFORMANCE', 'CLUSTERS', 'CAPABILITIES', 'ENVIRONMENT', 'SIMPLICITY', 'INNOVATION', 'INDUSTRY', 'MODEL']","['strategic variety', 'new ventures', 'external knowledge', 'absorptive capacity', 'regional clusters', 'absorptive capacity', 'clusters']","['ventures', 'spain', 'absorptive capacity']",0.3333333333333333,0.14285714285714285
"This article explores the relationships between innate consumer innovativeness, personal characteristics, and new-product adoption behavior To do this, the authors analyze cross-sectional data from a household panel using a structural equation modeling approach. They also test for potential moderating effects using a two-stage least square estimation procedure. They find that the personal characteristics of age and income are stronger predictors of new-product ownership in the consumer electronics category than innate consumer innovativeness as a generalized personality trait. The authors also find that personal characteristics neither influence innate consumer innovativeness nor moderate the relationship between innate consumer innovativeness and new-product adoption behavior.","['nan', 'ADAPTION-INNOVATION', 'KIRTON ADAPTION', 'INVENTORY', 'INTERNET', 'VALIDITY', 'SCALES', 'MODEL']",['model'],"['innovativeness', 'new product adoption']",0.0,0.0
"The phenomenon of outsourcing is becoming increasingly widespread among organizations and is now one of the strategic decisions that attract the greatest interest from professionals and organizational scholars. The primary purpose of the paper is to contribute with a review of the principal works that address outsourcing from the resource-based view of the firm (RBV). The paper begins by setting out the main premises of outsourcing and then presents the different concepts of outsourcing and proposes a concept that is more in line with the theoretical framework used. This is followed by an analysis of the principal differences and similarities of the treatments of outsourcing from the traditional perspective of the transaction costs economics theory (TCE) and from the more strategic and up-to-date RBV. The next section contains a review of the most significant theoretical and empirical works on outsourcing that address outsourcing from the RBV. The contributions are classified into two categories, depending on the objectives: works that study the propensity to outsource and works that study the relationship between the outsourcing decision and organizational performance. Finally, a framework is proposed that is based on the resource and capability view with the aim of contributing to a better understanding of outsourcing and facilitating future empirical works from the RBV that are complementary and examine issues of greater interest that have been less developed in the literature to date.","['nan', 'TRANSACTION COST', 'COMPETITIVE ADVANTAGE', 'VERTICAL INTEGRATION', 'STRATEGY', 'BUY', 'CAPABILITIES', 'IMPACT', 'HR', 'COLLABORATION', 'ORGANIZATION']","['transaction cost', 'organization']","['resource based view', 'transaction costs']",0.0,0.0
"This paper investigates business angel group members' decision-making from project submission to the final decision. Using a Canadian group's archival data on 636 proposals, we provide a detailed longitudinal analysis of the decision process. The rejection reasons generally refer to market and execution risk; this finding holds for every step of the process for proposals that pass the pre-screen. Angel group members focus more on market and execution risk than agency risk, similar to venture capitalists. Inexperienced entrepreneurs are rejected for market and product reasons. Decision-making by the studied angel group members differs from that generally described for independent angels. (C) 2015 Elsevier Inc. All rights reserved.","['Business angel', 'Angel group', 'Financing', 'Decision process', 'Experience', 'VENTURE CAPITALISTS', 'INVESTMENT', 'INVESTORS', 'PATTERNS', 'PURSUIT', 'FINANCE', 'MARKET', 'STAGE']","['business angel', 'angel group', 'decision process', 'experience', 'venture capitalists', 'market']","['decision', 'agency risk', 'venture capitalists']",0.3333333333333333,0.16666666666666666
"Current models of competitive advantage emphasize economic factors as explanations for a firm's success bur ignore sociocognitive factors. This paper integrates economic and cognitive perspectives, and shows how firms and constituents jointly construct the environments in which firms compete. We argue that competitive advantage is a systemic outcome that develops as firms and constituents participate in six processes that entail, not only use and exchange of resources, but also communication about and interpretations of those exchanges. The interpretations that firms and constituents make of competitive interactions affect decisions about how to exchange and use resources. As interpretations and evaluations of a given firm fluctuate, so do the resources the firm has access to and its competitive advantage in the marketplace. The actions and interpretations of constituents and rivals produce the shifting terrain on which competition unfolds. We illustrate these dynamics with a discussion of IBM's changing competitive advantage in the computer industry in the 1980s. Copyright (C) 1999 John Wiley & Sons, Ltd.","['competitive advantage', 'industry paradigms', 'corporate image and reputation', 'resource flows', 'competitive dynamics', 'RESOURCE-BASED VIEW', 'ORGANIZATIONAL CULTURE', 'INTANGIBLE RESOURCES', 'STRATEGIC MANAGEMENT', 'CORPORATE-STRATEGY', 'INDUSTRY', 'REPUTATION', 'ECONOMICS', 'IDENTITY', 'DYNAMICS']","['competitive advantage', 'industry', 'dynamics']",['competitive advantage'],1.0,0.3333333333333333
Research has demonstrated that organizational decision makers use categories and associated stereotypes to make hiring decisions. But what happens when a job applicant can be categorized in multiple ways? We use the social cognition literature to develop a model of category activation and inhibition in the hiring process. The model explains how situational and individual-difference variables influence which category will dominate the decision maker's impression of the job candidate and exert the greatest influence on the hiring decision.,"['nan', 'SIMULATED EMPLOYMENT CONTEXTS', 'JOB FIT STEREOTYPES', 'SOCIAL COGNITION', 'GENDER', 'PREJUDICE', 'DISCRIMINATION', 'INTERVIEW', 'SELF', 'MIND', 'PERFORMANCE']",['social cognition'],[],0,0.0
"The pendulum appears to be swinging away from the merger mania of the 1980s, with many leaner-and meaner organizations refocusing on their core competencies. However, these more focused organizations often lack the breadth of skills and expertise necessary for developing products and services which cut across traditional technological and marketing boundaries. Complex product systems such as those under development in the home automation industry include elements from such disparate sectors as consumer electronics, telecommunications, construction, and energy. A narrow focus may prevent the novel forms of innovation necessary for successful development of such products. Using the home automation industry as an example, Joe Tidd examines the challenges involved in the development of complex product systems. When products and services cut across traditional marketing and technological boundaries, radical innovation is difficult because different firms and industries are typically responsible for developing the various subsystems and components. Successful development efforts may require novel forms of innovation-for example, architectural innovation and technology fusion. Architectural innovation involves changes in the way the components of a product are linked together, but leaves the core design concepts untouched. Technology fusion creates new products and market opportunities through the blending of diverse technologies from various fields. Two organizational factors affect a firm's ability to develop and commercialize new products based on novel forms of innovation: the internal organization of the firm, and the firm's links with other organizations, including suppliers, customers, and networks of collaborating organizations. Within a firm, the development of complex product systems is likely to require managing across traditional product-division boundaries. The breadth of competencies required may necessitate strong interfirm linkages. Comparing organizational approaches and the networks of alliances for home automation in the United States, Europe, and Japan, it appears that European firms tend to be more narrowly focused then American and Japanese firms. A rigid focus on core competencies may cause these European firms to overlook the potential for new products. Because various technologies and industries are involved, open networks are more effective than closed networks or alliances. European and American firms tend to favor closed strategic alliances, while Japanese firms typically participate in open networks and overlapping consortia. This approach gives Japanese firms an edge in the home automation industry.","['nan', 'INNOVATION', 'INDUSTRY', 'STRATEGY']","['innovation', 'industry']",[],0,0.0
"This paper draws upon three broad perspectives on the strategic decision-making process in order to develop a more completely specified model of strategic decision effectiveness in a different context, namely Egypt. The key variables in this model consist of three strategic decision-making process dimensions (rationality, intuition, and political behavior); seven moderating variables concerning decision-specific, environmental, and organizational factors; and strategic decision effectiveness as an outcome variable. A two-stage study was conducted in which the first stage provided exploratory insights and the second stage investigated hypotheses on the impact of strategic decision-making process dimensions on strategic decision effectiveness and the moderating role of broader contextual variables. The second-stage study produced three major findings: (1) both rational and political processes appear to have more influence on strategic decision effectiveness than does intuition; (2) strategic decision effectiveness is both process- and context-specific; and (3) certain results support the 'culture-free' argument, while others support the 'culture-specific' argument. Copyright (c) 2007 John Wiley & Sons, Ltd.","['contextual variables', 'decision effectiveness', 'intuition', 'political behavior', 'rationality', 'strategic decision', 'ORGANIZATIONAL PERFORMANCE', 'FIRM PERFORMANCE', 'MAKING PROCESSES', 'MANAGEMENT', 'RATIONALITY', 'ENVIRONMENT', 'FORMULATION', 'COMPREHENSIVENESS', 'IMPLEMENTATION', 'SELECTION']","['contextual variables', 'decision effectiveness', 'intuition', 'political behavior', 'rationality', 'strategic decision', 'rationality', 'environment']","['strategic decision making', 'egypt']",0.0,0.0
