Keywords,Count,,,,,,Keywords,Count,
chinese smes,1,,,,,,,,
choice,1,,,,,,,,
choice and rejection,1,,,,,,,,
choice closure,1,,,,,,,,
choice delegation,1,,,,,,,,
choice models,1,,,,,,,,
choice of manager,1,,,,,,,,
choice quality,1,,,,,,,,
choice set,1,,,,,,,,
choices,1,,,,,,,,
choices for others,1,,,,,,,,
churn prediction,1,,,,,,,,
cimo approach,1,,,,,,,,
circadian rhythms,1,,,,,,,,
citation,1,,,,,,,,
citation analysis,1,,,,,,,,
citations,1,,,,,,,,
citizenship behavior,1,,,,,,,,
civic crowdfunding,1,,,,,,,,
classification,1,,,,,,,,
classifiers,1,,,,,,,,
cleantech,1,,,,,,,,
click and collect,1,,,,,,,,
click and mortar firms,1,,,,,,,,
click and mortar retail,1,,,,,,,,
click filtering,1,,,,,,,,
click fraud,1,,,,,,,,
clickstream data,2,,,,,,,,
client based projects,1,,,,,,,,
client references,1,,,,,,,,
client relationships,2,,,,,,,,
climate change,1,,,,,,,,
climate risk,1,,,,,,,,
climate strength,1,,,,,,,,
clockspeed,1,,,,,,,,
close brand relationships,1,,,,,,,,
closure and divestiture,1,,,,,,,,
closure of mnc subsidiaries,1,,,,,,,,
clothing,1,,,,,,,,
cloud and edge computing,1,,,,,,,,
cloud computing,3,,,,,,,,
cloud service provision,1,,,,,,,,
cluster,4,,,,,,,,
cluster analysis,3,,,,,,,,
cluster concept,1,,,,,,,,
cluster identity,1,,,,,,,,
cluster networks,1,,,,,,,,
cluster status,1,,,,,,,,
clustering,1,,,,,,,,
cmo,1,,,,,,,,
cms,1,,,,,,,,
co creation,10,,,,,,,,
co creation of value,1,,,,,,,,
co evolutionary framework,1,,,,,,,,
co operation,1,,,,,,,,
co opetition,2,,,,,,,,
co opetitors,1,,,,,,,,
co production,1,,,,,,,,
co worker exclusion,1,,,,,,,,
co worker mobility,1,,,,,,,,
coachability,1,,,,,,,,
coaching orientation,1,,,,,,,,
coalitional game theory,1,,,,,,,,
cobranding,2,,,,,,,,
cocreation,3,,,,,,,,
code,1,,,,,,,,
codesign,2,,,,,,,,
codevelopment timing,1,,,,,,,,
coercion,1,,,,,,,,
coevolution,1,,,,,,,,
coffee,1,,,,,,,,
cognition,9,,,,,,,,
cognitive age,1,,,,,,,,
cognitive appraisal theory,2,,,,,,,,
cognitive approach,1,,,,,,,,
cognitive complexity,1,,,,,,,,
cognitive conflict,1,,,,,,,,
cognitive continuum theory,1,,,,,,,,
cognitive dissonance,1,,,,,,,,
cognitive groups,1,,,,,,,,
cognitive neuroscience,1,,,,,,,,
cognitive perspective,2,,,,,,,,
cognitive response coding,1,,,,,,,,
cohesion,1,,,,,,,,
collaboration,10,,,,,,,,
collaboration networks,1,,,,,,,,
collaborative community,1,,,,,,,,
collaborative complexity,1,,,,,,,,
collaborative filtering,2,,,,,,,,
collaborative innovation,1,,,,,,,,
collaborative networks,1,,,,,,,,
collective action,4,,,,,,,,
collective engagement,1,,,,,,,,
collective governance,1,,,,,,,,
collective sensemaking,1,,,,,,,,
collective turnover,1,,,,,,,,
collectivism,2,,,,,,,,
color,3,,,,,,,,
combinatorial efforts,1,,,,,,,,
commercial friendships,1,,,,,,,,
commercialization,3,,,,,,,,
commitment,8,,,,,,,,
commitment to employees,1,,,,,,,,
commodification,1,,,,,,,,
common family vision,1,,,,,,,,
common method variance,1,,,,,,,,
commons,1,,,,,,,,
communal and exchange norms,1,,,,,,,,
communal relationship,1,,,,,,,,
communication,7,,,,,,,,
communication content,1,,,,,,,,
communication frequency,1,,,,,,,,
communication technologies,1,,,,,,,,
communication technology,1,,,,,,,,
communications,1,,,,,,,,
communist footprint,1,,,,,,,,
communitas,1,,,,,,,,
communities,1,,,,,,,,
communities of practice,1,,,,,,,,
community,1,,,,,,,,
community based enterprises,1,,,,,,,,
community benefit,1,,,,,,,,
community engagement,1,,,,,,,,
community governance,1,,,,,,,,
community of practice,1,,,,,,,,
community participation,1,,,,,,,,
community supporting platforms,1,,,,,,,,
community vitality,1,,,,,,,,
company performance,1,,,,,,,,
company size,1,,,,,,,,
comparative adjustment costs,1,,,,,,,,
comparative advantage,1,,,,,,,,
comparative analysis,1,,,,,,,,
comparative capitalism,1,,,,,,,,
comparative corporate governance,2,,,,,,,,
comparative entrepreneurship,3,,,,,,,,
comparative hrm,1,,,,,,,,
comparative institutional analysis,3,,,,,,,,
comparative optimism,1,,,,,,,,
comparative ownership advantage,1,,,,,,,,
comparative prices,1,,,,,,,,
comparative research,1,,,,,,,,
comparative study,1,,,,,,,,
comparative thinking,2,,,,,,,,
comparison shopping,3,,,,,,,,
compensation,11,,,,,,,,
compensation contingencies,1,,,,,,,,
compensation gap,1,,,,,,,,
compensation strategy,1,,,,,,,,
compensatory consumption,1,,,,,,,,
compensatory control,1,,,,,,,,
compensatory justice,1,,,,,,,,
competence,2,,,,,,,,
competences,5,,,,,,,,
competency,1,,,,,,,,
competing technologies,1,,,,,,,,
competition,13,,,,,,,,
competition among experts,1,,,,,,,,
competitive action,2,,,,,,,,
competitive advantage,16,,,,,,,,
competitive behaviour,1,,,,,,,,
competitive decision making,1,,,,,,,,
competitive dominance,1,,,,,,,,
competitive dynamics,14,,,,,,,,
competitive forces,1,,,,,,,,
competitive heterogeneity,2,,,,,,,,
competitive intelligence,1,,,,,,,,
competitive intensity,1,,,,,,,,
competitive market structure,1,,,,,,,,
competitive method consensus,1,,,,,,,,
competitive organizational behavior,1,,,,,,,,
competitive posture,1,,,,,,,,
competitive responsiveness,1,,,,,,,,
competitive rivalry,1,,,,,,,,
competitive strategy,8,,,,,,,,
competitive strategy perspective,1,,,,,,,,
competitiveness,3,,,,,,,,
competitor identification,2,,,,,,,,
competitor targeting,1,,,,,,,,
complaining,1,,,,,,,,
complaining behavior,1,,,,,,,,
complaint,1,,,,,,,,
complaint devices,1,,,,,,,,
complaint handling,1,,,,,,,,
complaint management,2,,,,,,,,
complaints,1,,,,,,,,
complementarities,4,,,,,,,,
complementarity,4,,,,,,,,
complementary assets,4,,,,,,,,
complementary components,1,,,,,,,,
complementary penrose effect,1,,,,,,,,
complementor,1,,,,,,,,
complementors,1,,,,,,,,
complex contagions,1,,,,,,,,
complex organizations,1,,,,,,,,
complex products,1,,,,,,,,
complexity,4,,,,,,,,
complexity theories,1,,,,,,,,
complexity theory,1,,,,,,,,
compliance costs,1,,,,,,,,
component originality,1,,,,,,,,
composite,1,,,,,,,,
composite effect,1,,,,,,,,
composition based strategy,1,,,,,,,,
compromise effect,1,,,,,,,,
compulsive buying,2,,,,,,,,
computational linguistics,1,,,,,,,,
computer mediated customization tendency,1,,,,,,,,
computer mediated environments,1,,,,,,,,
concept,1,,,,,,,,
concept abduction,1,,,,,,,,
concept formation,1,,,,,,,,
concept of strategy,1,,,,,,,,
concepts,1,,,,,,,,
conceptual,1,,,,,,,,
conceptual framework,2,,,,,,,,
conceptual frameworks,1,,,,,,,,
conceptual thinking,1,,,,,,,,
concrete language,1,,,,,,,,
concurrent sourcing,1,,,,,,,,
conferences,1,,,,,,,,
confidence,2,,,,,,,,
configuration,2,,,,,,,,
configurational,1,,,,,,,,
conflict,4,,,,,,,,
conflict delisting,1,,,,,,,,
conflict handling styles,1,,,,,,,,
conflict management,4,,,,,,,,
conflict minerals,1,,,,,,,,
conformity,3,,,,,,,,
conformity tendency,1,,,,,,,,
congenital learning,1,,,,,,,,
conglomerates,1,,,,,,,,
connected situationalism,1,,,,,,,,
connectivity,2,,,,,,,,
consciousness,1,,,,,,,,
consensus,1,,,,,,,,
conspicuous consumption,2,,,,,,,,
constellations,1,,,,,,,,
constitutive legitimation,1,,,,,,,,
constrained components analysis,1,,,,,,,,
constraint based relationship,1,,,,,,,,
constraints,1,,,,,,,,
construal level,2,,,,,,,,
construct definition,1,,,,,,,,
construct validity,1,,,,,,,,
construction industry,6,,,,,,,,
constructive deviance,1,,,,,,,,
constructivism,2,,,,,,,,
consumer,1,,,,,,,,
consumer ability,1,,,,,,,,
consumer access,1,,,,,,,,
consumer adoption of product innovations,1,,,,,,,,
consumer affinity,2,,,,,,,,
consumer animosity,4,,,,,,,,
consumer arrogance,1,,,,,,,,
consumer attitudes,1,,,,,,,,
consumer based brand equity,1,,,,,,,,
consumer behavior,18,,,,,,,,
consumer brand engagement,1,,,,,,,,
consumer brand evaluation,1,,,,,,,,
consumer brand identification,1,,,,,,,,
consumer brand relationship,1,,,,,,,,
consumer brand relationships,1,,,,,,,,
consumer brand value congruence,1,,,,,,,,
consumer commitment,1,,,,,,,,
consumer company identification,2,,,,,,,,
consumer complaints,1,,,,,,,,
consumer confidence,1,,,,,,,,
consumer conflict styles,1,,,,,,,,
consumer culture positioning,1,,,,,,,,
consumer culture positioning strategy,1,,,,,,,,
consumer debt,1,,,,,,,,
consumer decision making,1,,,,,,,,
consumer decision making process,1,,,,,,,,
consumer disidentification,1,,,,,,,,
consumer emotions,1,,,,,,,,
consumer empowerment,1,,,,,,,,
consumer ethnocentrism,4,,,,,,,,
consumer evaluations,1,,,,,,,,
consumer expectations,1,,,,,,,,
consumer expenditures,1,,,,,,,,
consumer experience,1,,,,,,,,
consumer financial decision making,2,,,,,,,,
consumer generated advertising,1,,,,,,,,
consumer generated product review,1,,,,,,,,
consumer impulsiveness,1,,,,,,,,
consumer innovativeness,2,,,,,,,,
consumer involvement,1,,,,,,,,
consumer journey,4,,,,,,,,
consumer journeys,1,,,,,,,,
consumer knowledge,1,,,,,,,,
consumer learning,1,,,,,,,,
consumer loyalty,1,,,,,,,,
consumer media channel consideration,1,,,,,,,,
consumer movements,1,,,,,,,,
consumer normalcy,1,,,,,,,,
consumer online review,1,,,,,,,,
consumer opinion platforms,1,,,,,,,,
consumer package goods,2,,,,,,,,
consumer perceptions,1,,,,,,,,
consumer piracy risk,1,,,,,,,,
consumer price posting,1,,,,,,,,
consumer promotions,2,,,,,,,,
consumer rebates,1,,,,,,,,
consumer research,2,,,,,,,,
consumer retaliation,1,,,,,,,,
consumer reviews,2,,,,,,,,
consumer satisfaction,1,,,,,,,,
consumer search,1,,,,,,,,
consumer search behavior,1,,,,,,,,
consumer search theory,1,,,,,,,,
consumer sentiment,1,,,,,,,,
consumer sharing,1,,,,,,,,
consumer shopping stress,1,,,,,,,,
consumer switching intention,1,,,,,,,,
consumer to consumer,1,,,,,,,,
consumer to consumer platforms,1,,,,,,,,
consumer traffic,1,,,,,,,,
consumer trust,1,,,,,,,,
consumer voice,1,,,,,,,,
consumer xenocentrism,1,,,,,,,,
consumers,3,,,,,,,,
consumption convergence,1,,,,,,,,
consumption imagery,1,,,,,,,,
content analysis,5,,,,,,,,
context,3,,,,,,,,
context emergent turnover theory,1,,,,,,,,
context general,1,,,,,,,,
contextual distance,1,,,,,,,,
contextual information,1,,,,,,,,
contextual lens,1,,,,,,,,
contextualization of research,1,,,,,,,,
contingency,1,,,,,,,,
contingency effects,1,,,,,,,,
contingency planning,1,,,,,,,,
contingency theory,3,,,,,,,,
contingent earnouts,2,,,,,,,,
continuous improvement products,1,,,,,,,,
contract,3,,,,,,,,
contract duration,1,,,,,,,,
contract specificity,1,,,,,,,,
contract terms,1,,,,,,,,
contracting,3,,,,,,,,
contracts,7,,,,,,,,
contractual breach,1,,,,,,,,
contractual governance,1,,,,,,,,
contractual relationships,1,,,,,,,,
control,6,,,,,,,,
control beliefs,1,,,,,,,,
control form,1,,,,,,,,
control portfolio,1,,,,,,,,
control procedures,1,,,,,,,,
control systems,1,,,,,,,,
control theory,1,,,,,,,,
control variable,1,,,,,,,,
convergence,2,,,,,,,,
convergence divergence,1,,,,,,,,
conveyed leader grit,1,,,,,,,,
coo,1,,,,,,,,
cooperation,3,,,,,,,,
cooperative marketing,1,,,,,,,,
cooperative r d,1,,,,,,,,
cooperative strategy,3,,,,,,,,
cooperative thrift and credit societies,1,,,,,,,,
cooperative ventures,1,,,,,,,,
coopetition,3,,,,,,,,
coordinated exploration,1,,,,,,,,
coordinating,1,,,,,,,,
coordination,3,,,,,,,,
coordination and control,1,,,,,,,,
coordination costs,1,,,,,,,,
coordination of expertise,1,,,,,,,,
coping,3,,,,,,,,
copreneurship,1,,,,,,,,
coproduction,2,,,,,,,,
copyright protection,1,,,,,,,,
core assumptions,1,,,,,,,,
core capabilities,1,,,,,,,,
core self evaluation,2,,,,,,,,
core self evaluations,1,,,,,,,,
core transformational leadership,1,,,,,,,,
corporate branding,2,,,,,,,,
corporate brands,1,,,,,,,,
corporate capability,1,,,,,,,,
corporate center,1,,,,,,,,
corporate control,1,,,,,,,,
corporate crime,1,,,,,,,,
corporate development activities,1,,,,,,,,
corporate diversification,3,,,,,,,,
corporate diversification strategy,1,,,,,,,,
corporate effects,4,,,,,,,,
corporate elite,1,,,,,,,,
corporate entrepreneurship,15,,,,,,,,
corporate environmental performance,1,,,,,,,,
corporate environmentalism,1,,,,,,,,
corporate ethics,1,,,,,,,,
corporate financial performance,1,,,,,,,,
corporate foundations,1,,,,,,,,
corporate giving,1,,,,,,,,
corporate globalization,1,,,,,,,,
corporate goventance,1,,,,,,,,
corporate governance,46,,,,,,,,
corporate governance codes,1,,,,,,,,
corporate governance legitimacy,1,,,,,,,,
corporate governance reform,1,,,,,,,,
corporate group,1,,,,,,,,
corporate groups,1,,,,,,,,
corporate headquarters,2,,,,,,,,
corporate hr function,1,,,,,,,,
corporate hypocrisy,1,,,,,,,,
corporate identity,1,,,,,,,,
corporate investments,1,,,,,,,,
corporate language,1,,,,,,,,
corporate legitimacy,1,,,,,,,,
corporate managerial hubris,1,,,,,,,,
corporate microblogs,1,,,,,,,,
corporate misconduct,1,,,,,,,,
corporate ownership structure,1,,,,,,,,
corporate parent,1,,,,,,,,
corporate performance,1,,,,,,,,
corporate philanthropic disaster response,1,,,,,,,,
corporate philanthropy,4,,,,,,,,
corporate political action,1,,,,,,,,
corporate political activities,1,,,,,,,,
corporate political activity,7,,,,,,,,
corporate political spending,1,,,,,,,,
corporate political strategy,2,,,,,,,,
corporate rebranding,1,,,,,,,,
corporate reputation,9,,,,,,,,
corporate responsibility,3,,,,,,,,
corporate restructuring,4,,,,,,,,
corporate risk taking,1,,,,,,,,
corporate roi,1,,,,,,,,
corporate sexual equality,1,,,,,,,,
corporate social irresponsibility,2,,,,,,,,
corporate social irresponsibility csir ,1,,,,,,,,
corporate social performance,10,,,,,,,,
corporate social performance csp ,1,,,,,,,,
corporate social responsibility,59,,,,,,,,
corporate social responsibility consumer attributions,1,,,,,,,,
corporate social responsibility csr ,6,,,,,,,,
corporate social responsibility voluntary reporting,1,,,,,,,,
corporate sociopolitical activism,1,,,,,,,,
corporate spinoffs,1,,,,,,,,
corporate strategy,6,,,,,,,,
corporate sustainability,1,,,,,,,,
corporate sustainability management csm ,1,,,,,,,,
corporate sustainability practices,1,,,,,,,,
corporate turnaround,1,,,,,,,,
corporate turnarounds,1,,,,,,,,
corporate values,1,,,,,,,,
corporate venture capital,6,,,,,,,,
corporate venture capital programs,1,,,,,,,,
corporate venture unit,1,,,,,,,,
corporate ventures,1,,,,,,,,
corporate venturing,6,,,,,,,,
corporate venturing portfolio,1,,,,,,,,
corporate venturing process,1,,,,,,,,
corrective actions,1,,,,,,,,
corruption,14,,,,,,,,
corruption nonresponse,1,,,,,,,,
cosmopolitan orientation,1,,,,,,,,
cosmopolitanism,2,,,,,,,,
cospecialization,1,,,,,,,,
cost effectiveness,1,,,,,,,,
cost efficiency,1,,,,,,,,
cost leadership strategy,1,,,,,,,,
cost management,1,,,,,,,,
cost of doing business abroad,1,,,,,,,,
counterfeit,1,,,,,,,,
counterfeit deception,1,,,,,,,,
counterfeiting,1,,,,,,,,
counterfeits,1,,,,,,,,
counterproductive work behavior,1,,,,,,,,
countries and locations,1,,,,,,,,
country assessment,1,,,,,,,,
country based interaction orientation,1,,,,,,,,
country familiarity,1,,,,,,,,
country image,2,,,,,,,,
country of origin,9,,,,,,,,
country of origin effect,1,,,,,,,,
country of origin effects,1,,,,,,,,
country of origin export intensity,1,,,,,,,,
country personality,1,,,,,,,,
country specific determinants,1,,,,,,,,
country stereotypes,1,,,,,,,,
coupon,1,,,,,,,,
coupon proneness,1,,,,,,,,
coupon strategy,1,,,,,,,,
coupons,2,,,,,,,,
covenants,1,,,,,,,,
covid 19 pandemic,1,,,,,,,,
craft beer industry,1,,,,,,,,
creating value through interactions,1,,,,,,,,
creation theory,1,,,,,,,,
creative destruction,2,,,,,,,,
creative forecasting,1,,,,,,,,
creative industries,1,,,,,,,,
creative personality,1,,,,,,,,
creativity,24,,,,,,,,
creativity receiving,1,,,,,,,,
credibility,1,,,,,,,,
credibility of science,1,,,,,,,,
credit ratings,1,,,,,,,,
creditor rights,1,,,,,,,,
criminality,1,,,,,,,,
crisis,1,,,,,,,,
crisis management,1,,,,,,,,
critical analysis,1,,,,,,,,
critical discourse analysis,1,,,,,,,,
critical discursive analysis,1,,,,,,,,
critical incident approach,1,,,,,,,,
critical realism,2,,,,,,,,
critics,1,,,,,,,,
crm,5,,,,,,,,
crm models,1,,,,,,,,
cronyism,1,,,,,,,,
cross border,1,,,,,,,,
cross border acquisition,5,,,,,,,,
cross border acquisitions,6,,,,,,,,
cross border acquisitions cbas ,3,,,,,,,,
cross border investments,4,,,,,,,,
cross border merger and acquisition,1,,,,,,,,
cross border mergers and acquisitions,3,,,,,,,,
cross border mergers and acquisitions m as ,3,,,,,,,,
cross border r d collaboration,1,,,,,,,,
cross border shopping,1,,,,,,,,
cross border venture capital,1,,,,,,,,
cross buy,1,,,,,,,,
cross buying,1,,,,,,,,
cross category competition,1,,,,,,,,
cross category demand effects,1,,,,,,,,
cross category effects,1,,,,,,,,
cross category sales,1,,,,,,,,
cross country study,1,,,,,,,,
cross cultural,6,,,,,,,,
cross cultural adjustment,1,,,,,,,,
cross cultural competence,1,,,,,,,,
cross cultural competencies,1,,,,,,,,
cross cultural consumer behavior,1,,,,,,,,
cross cultural distributive justice values,1,,,,,,,,
cross cultural equivalence,1,,,,,,,,
cross cultural leadership,1,,,,,,,,
cross cultural management,7,,,,,,,,
cross cultural marketing,3,,,,,,,,
cross cultural negotiations,1,,,,,,,,
cross cultural research,4,,,,,,,,
cross cultural research measurement issues,6,,,,,,,,
cross culture,3,,,,,,,,
cross level research,1,,,,,,,,
cross listing,3,,,,,,,,
cross media consumption,1,,,,,,,,
cross national,2,,,,,,,,
cross national collaboration,1,,,,,,,,
cross national diversity,1,,,,,,,,
cross national research,3,,,,,,,,
cross national trust,1,,,,,,,,
cross occupational collaboration,1,,,,,,,,
cross price elasticity,1,,,,,,,,
cross sectional analysis,1,,,,,,,,
cross sector collaboration,1,,,,,,,,
cross sector partnership,1,,,,,,,,
cross sector partnerships,3,,,,,,,,
cross selling,2,,,,,,,,
crossover theory,1,,,,,,,,
crossvergence,2,,,,,,,,
crowdfunding,9,,,,,,,,
crowdfunding platforms,1,,,,,,,,
crowding,2,,,,,,,,
crowding out,1,,,,,,,,
crowding out effect,1,,,,,,,,
crowdsourcing,3,,,,,,,,
csr,3,,,,,,,,
cue multiplicity,1,,,,,,,,
cultural attractiveness,1,,,,,,,,
cultural context,1,,,,,,,,
cultural differences,2,,,,,,,,
cultural dimensions,3,,,,,,,,
cultural distance,10,,,,,,,,
cultural entrepreneurship,1,,,,,,,,
cultural industries,2,,,,,,,,
cultural intelligence,1,,,,,,,,
cultural lens,1,,,,,,,,
cultural resistance,1,,,,,,,,
cultural respect,1,,,,,,,,
cultural sensitivity,1,,,,,,,,
cultural theory,1,,,,,,,,
cultural tightness,1,,,,,,,,
cultural toolkit,1,,,,,,,,
cultural values,2,,,,,,,,
culture,24,,,,,,,,
culture and climate,2,,,,,,,,
culture and international business,1,,,,,,,,
culture archetypes,1,,,,,,,,
culture change,1,,,,,,,,
curiosity,3,,,,,,,,
customer acquisition,1,,,,,,,,
customer analytics,1,,,,,,,,
customer appreciation,1,,,,,,,,
customer asset management,1,,,,,,,,
customer base analysis,2,,,,,,,,
customer based corporate reputation,1,,,,,,,,
customer based inertia,1,,,,,,,,
customer behavior,2,,,,,,,,
customer brand identification,1,,,,,,,,
customer capabilities,1,,,,,,,,
customer centricity,1,,,,,,,,
customer channel habits,1,,,,,,,,
customer channel migration,1,,,,,,,,
customer collaboration,1,,,,,,,,
customer company identification,2,,,,,,,,
customer complaint,1,,,,,,,,
customer complaints,3,,,,,,,,
customer concentration,1,,,,,,,,
customer contact model,1,,,,,,,,
customer copresence,1,,,,,,,,
customer data breach,1,,,,,,,,
customer defection,2,,,,,,,,
customer delight,2,,,,,,,,
customer driven complexity,1,,,,,,,,
customer dynamics,1,,,,,,,,
customer education,2,,,,,,,,
customer effort in value cocreation activities,1,,,,,,,,
customer engagement,7,,,,,,,,
customer engagement behaviors,1,,,,,,,,
customer engagement value,1,,,,,,,,
customer equity,6,,,,,,,,
customer expectations,1,,,,,,,,
customer experience,6,,,,,,,,
customer experience management,1,,,,,,,,
customer experience quality,1,,,,,,,,
customer firm interactions,1,,,,,,,,
customer focus,1,,,,,,,,
customer forgiveness,1,,,,,,,,
customer fraud,1,,,,,,,,
customer incivility,1,,,,,,,,
customer inertia,1,,,,,,,,
customer information breach,1,,,,,,,,
customer inoculation,1,,,,,,,,
customer integration,1,,,,,,,,
customer interaction,1,,,,,,,,
customer interface design,1,,,,,,,,
customer interpersonal injustice,1,,,,,,,,
customer involvement,3,,,,,,,,
customer journey,4,,,,,,,,
customer level,1,,,,,,,,
customer lifetime value,8,,,,,,,,
customer loyalty,11,,,,,,,,
customer management,2,,,,,,,,
customer mindset metrics,1,,,,,,,,
customer misbehavior,1,,,,,,,,
customer mistreatment,1,,,,,,,,
customer needs,1,,,,,,,,
customer networks,1,,,,,,,,
customer orientation,4,,,,,,,,
customer oriented boundary spanning behaviors,1,,,,,,,,
customer oriented marketing capability,1,,,,,,,,
customer participation,10,,,,,,,,
customer perceived service climate,1,,,,,,,,
customer portfolio management,1,,,,,,,,
customer power,1,,,,,,,,
customer preferences,1,,,,,,,,
customer prioritization,2,,,,,,,,
customer profit prediction,1,,,,,,,,
customer profitability,1,,,,,,,,
customer quality expectation,1,,,,,,,,
customer query handling,1,,,,,,,,
customer rage,1,,,,,,,,
customer rage emotions,1,,,,,,,,
customer reacquisition,2,,,,,,,,
customer recovery,1,,,,,,,,
customer referral program,1,,,,,,,,
customer referral programs,1,,,,,,,,
customer referral reward program,1,,,,,,,,
customer relations,2,,,,,,,,
customer relationship,1,,,,,,,,
customer relationship behavior,1,,,,,,,,
customer relationship management,16,,,,,,,,
customer relationship management crm ,1,,,,,,,,
customer relationship marketing,1,,,,,,,,
customer relationships,4,,,,,,,,
customer response capability,1,,,,,,,,
customer retaliation,1,,,,,,,,
customer retention,4,,,,,,,,
customer returns,1,,,,,,,,
customer revenge,2,,,,,,,,
customer review,1,,,,,,,,
customer review quality,1,,,,,,,,
customer satisfaction,30,,,,,,,,
customer segmentation,2,,,,,,,,
customer selection,1,,,,,,,,
customer service,5,,,,,,,,
customer services quality,1,,,,,,,,
customer share,1,,,,,,,,
customer solutions,2,,,,,,,,
customer specific synergies,1,,,,,,,,
customer support,1,,,,,,,,
customer surveillance,1,,,,,,,,
customer switching,1,,,,,,,,
customer to customer,1,,,,,,,,
customer to customer communication,1,,,,,,,,
customer to customer influence,1,,,,,,,,
customer uncertainty,1,,,,,,,,
customer valuation theory,1,,,,,,,,
customer value,4,,,,,,,,
customer value analysis,1,,,,,,,,
customers customers,1,,,,,,,,
customization,5,,,,,,,,
customized marketing,1,,,,,,,,
customized temporal discounts,1,,,,,,,,
cvc investments,1,,,,,,,,
cyber incivility,1,,,,,,,,
dairy,1,,,,,,,,
data breach,1,,,,,,,,
data envelopment analysis,1,,,,,,,,
data equivalence,1,,,,,,,,
data mining,3,,,,,,,,
database marketing,2,,,,,,,,
dataset,1,,,,,,,,
de commitment,1,,,,,,,,
de novo entry,1,,,,,,,,
dea,1,,,,,,,,
deal abandonment,1,,,,,,,,
deal proneness,1,,,,,,,,
dealer commitment,1,,,,,,,,
deals,1,,,,,,,,
debate,1,,,,,,,,
debt contracts,1,,,,,,,,
decade award,2,,,,,,,,
decentralization,2,,,,,,,,
deception,2,,,,,,,,
decision comfort,1,,,,,,,,
decision making,21,,,,,,,,
decision models,1,,,,,,,,
decision quality,1,,,,,,,,
decision tree induction,1,,,,,,,,
decisions under risk,1,,,,,,,,
decline,1,,,,,,,,
declining industries,1,,,,,,,,
decolonial,1,,,,,,,,
defence sector,1,,,,,,,,
deference,1,,,,,,,,
degree of internationalization,2,,,,,,,,
delayering,1,,,,,,,,
deliberate capability development,1,,,,,,,,
delivery fulfillment,1,,,,,,,,
demand,1,,,,,,,,
demand analysis,1,,,,,,,,
demand based pricing,1,,,,,,,,
demand management,5,,,,,,,,
demand side strategy,1,,,,,,,,
demand variation and uncertainty,1,,,,,,,,
demographic faultline strength,1,,,,,,,,
dempster shafer theory of belief functions,1,,,,,,,,
department stores,1,,,,,,,,
dependence,2,,,,,,,,
deregulation,2,,,,,,,,
design,3,,,,,,,,
design awards,1,,,,,,,,
design methodology,1,,,,,,,,
design thinking,1,,,,,,,,
destructive leadership,2,,,,,,,,
determinants of profitability,1,,,,,,,,
developing countries,7,,,,,,,,
development,1,,,,,,,,
development policies,1,,,,,,,,
developmental networks,2,,,,,,,,
deviance,2,,,,,,,,
deviant,2,,,,,,,,
dialogic engagement,1,,,,,,,,
diary study,1,,,,,,,,
diaspora,1,,,,,,,,
difference aversion,1,,,,,,,,
difference in differences,1,,,,,,,,
differential benefits,1,,,,,,,,
differential customer treatment,1,,,,,,,,
differential game,1,,,,,,,,
differentiated leadership,1,,,,,,,,
differentiated network,1,,,,,,,,
differentiated products,1,,,,,,,,
differentiation,2,,,,,,,,
diffusion,4,,,,,,,,
diffusion effects,1,,,,,,,,
digital,1,,,,,,,,
digital analytics,1,,,,,,,,
digital channel,1,,,,,,,,
digital content,1,,,,,,,,
digital content marketing,1,,,,,,,,
digital convergence,1,,,,,,,,
digital displays,1,,,,,,,,
digital distribution,2,,,,,,,,
digital echoverse,1,,,,,,,,
digital economy,1,,,,,,,,
digital ecosystems,1,,,,,,,,
digital entrepreneurship,1,,,,,,,,
digital goods,3,,,,,,,,
digital innovation,2,,,,,,,,
digital marketing,2,,,,,,,,
digital media,1,,,,,,,,
digital menus,1,,,,,,,,
digital microproducts,1,,,,,,,,
digital music sampling strategy,1,,,,,,,,
digital piracy,1,,,,,,,,
digital platform risk,1,,,,,,,,
digital platforms,3,,,,,,,,
digital rights management,2,,,,,,,,
digital technologies,1,,,,,,,,
digital technology,1,,,,,,,,
digital transformation,1,,,,,,,,
digitalization,2,,,,,,,,
digitization,2,,,,,,,,
digitization of selling capabilities,1,,,,,,,,
dimensionality,1,,,,,,,,
diplomatic relations,1,,,,,,,,
direct and indirect network externality effects,1,,,,,,,,
direct and indirect power advantages,1,,,,,,,,
direct foreign investment,1,,,,,,,,
direct marketing,1,,,,,,,,
directive questioning,1,,,,,,,,
director interlock,1,,,,,,,,
director interlocks,1,,,,,,,,
director selection,1,,,,,,,,
directorate interlock,1,,,,,,,,
directors,1,,,,,,,,
dirty work,1,,,,,,,,
disability,3,,,,,,,,
disability identity,1,,,,,,,,
disclosure,2,,,,,,,,
discount location,1,,,,,,,,
discounts,2,,,,,,,,
discouragement,1,,,,,,,,
discourse,4,,,,,,,,
discourse and strategy,1,,,,,,,,
discretionary adaptation,1,,,,,,,,
discretionary behaviors,1,,,,,,,,
discretionary preferential treatments,1,,,,,,,,
discriminant validity,1,,,,,,,,
discrimination,1,,,,,,,,
discursive,1,,,,,,,,
diseconomies of scope,1,,,,,,,,
dispersed entrepreneurship,1,,,,,,,,
dispersed knowledge,1,,,,,,,,
dispositional empathy,1,,,,,,,,
