Inputs,True Keywords,True Keywords in Abstract,Predictions
"We investigate the impact of political institutions on corporate risk-taking. Using a large sample of non-financial firms from 77 countries covering the period from 1988 to 2008, we find that sound political institutions are positively associated with corporate risk-taking, and that this relation is stronger when government extraction is higher. In a subsample of 45 countries, we also find that politically connected firms engage in more risk-taking, which suggests that close ties to the government lead to less conservative investment choices. Our results are economically significant, and are robust to alternative risk-taking measures, various political institution proxies, cross-sectional and country-level regressions, and endogeneity concerns of political institutions. Our results have important implications for governments and corporate managers by providing direct relevance of political institutions to the corporate decision-making process. To encourage investment at the firm level, and hence innovation and overall growth, governments need to undertake the necessary reforms to control corruption and enforce contracts better, and thus decrease government predation and extraction. Journal of International Business Studies (2013) 44, 195-215. doi:10.1057/jibs.2013.2","['corporate governance', 'political institutions', 'risk-taking strategies', 'political connectionsINDIVIDUALISM-COLLECTIVISM', 'GOVERNANCE', 'ECONOMY', 'FIRMS', 'OWNERSHIP', 'GROWTH', 'MODEL']","['political institutions', 'political institutions', 'firms', 'growth']",corporate risk taking firms investment
"Previous research has found that dissatisfied consumers choose to seek redress, engage in negative word-of-mouth behavior, and exit (i.e., vow never to repatronize the retailer) based upon the perceived likelihood of successful redress, their attitude toward complaining, the level of importance they attach to the defective product, and whether they perceive the problem to be stable or to have been controllable. The authors extend previous research by modeling consumer complaining behavior as a complex, dynamic process, hypothesizing that once a consumer seeks redress, negative word-of-mouth behavior and repatronage intentions are dependent (primarily) upon the consumer's post-complaint perception of justice. As hypothesized, perceived justice was found to be the main determinant of complainants' negative word-of-mouth behavior and their repatronage intentions, and was found to mediate the effects of likelihood of success, attitude toward complaining, product importance, and stability and controllability on complaining behavior. The model fit the data very well, explaining 49.1 percent of the variance of negative word-of-mouth and 68.5 percent of the variance of repatronage intentions. These findings point to the importance of customer service/customer satisfaction, especially since the cost of keeping a current customer satisfied is much less than the cost of attracting a new customer.","['nanCONFIRMATORY FACTOR-ANALYSIS', 'CONSUMER SATISFACTION', 'FIT INDEXES', 'GOODNESS', 'DISSATISFACTION', 'RESPONSES', 'MODEL']",['model'],consumers word of mouth behavior modeling
"A fundamental distinction between goods and services is that in the retailing of goods and some services the costs of production and distribution are clearly separable in a non-arbitrary fashion, usually identified as costs of goods sold. They have type I separability. Distribution services, which are also known as attributes, marketing mix or output variables, are produced, distributed and consumed just as goods or physical products or core services sold directly to consumers at an explicit price. When online settings generate separability of production distribution and consumption of all these distribution services in space and time we have strong type II separability, which has not been identified in the literature. The latter plays an essential role in the emergence, sustainability and sometimes dominance of online channels. It has profound implications for both the demand side and the supply side of firms in online channels. We develop implications of this result with respect to potential maximum levels of these services in electronic channels and for a broad range of other important topics relevant for marketing and economics. (C) 2016 Direct Marketing Educational Foundation, Inc., dba Marketing EDGE. All rights reserved.","['Distribution services', 'Separability across space and time', 'Maximum service limits of channels', 'Channel choice and management', 'Online vs. offline retailingMULTICHANNEL CUSTOMER MANAGEMENT', 'SATISFACTION', 'CONSUMER', 'ONLINE', 'IMPACT', 'CONSEQUENCES', 'DIRECTIONS', 'ATTRIBUTES', 'SEPARATION', 'RETENTION']","['distribution services', 'distribution services', 'consumer', 'online', 'attributes']",services attributes
"Preservice tips are becoming increasingly common in the marketplace (e.g., online food delivery, quick-service restaurants). While prior research has investigated how the practice of preservice tipping is perceived by customers, how preservice tipping impacts the perceptions and behaviors of employees remains unexplored. Does tipping early actually elicit better service? Through a series of four studies, our research compares the effectiveness of tips-a financial incentive, with compliments-a nonfinancial incentive. The results indicate that early tips and compliments are both effective in obtaining better service, but the relative effectiveness of a tip versus a compliment depends on the service context. In closed service contexts-which involve a continuous, relatively short interaction-tips are superior. For example, when getting a drink at a bar, buying a sandwich at a quick-service restaurant, or dropping off a car for valet parking, tipping early should lead to better customer service. In contrast, in open service contexts-which involve multiple interactions over a more extended period and provide an opportunity for a social connection-compliments become more effective. The results have practical implications for customers wishing to enhance their service experiences and for managers in motivating their employees.","['persuasion', 'tipping', 'compliments', 'open versus closed contextsVALUE CO-CREATION', 'INDIVIDUAL-DIFFERENCES', 'SERVICE', 'BEHAVIOR', 'INGRATIATION', 'SATISFACTION', 'GRATUITIES', 'PREDICTION', 'IMPACT', 'NORM']","['tipping', 'compliments', 'service', 'behavior', 'impact']",preservice tips employees compliments
"Newly launched products in the consumer goods and services markets show high failure rates. To reduce the failure rates, companies can integrate innovative and knowledgeable customers, the so-called lead users, into the new product development process. However, the detection of such lead users is difficult, especially in consumer product markets with very large customer bases. A new and potentially valuable approach toward the identification of lead users involves the use of virtual stock markets, which have been proposed and applied for political and business forecasting but not for the identification of experts such as lead users. The basic concept of virtual stock markets is bringing a group of participants together via the Internet and allowing them to trade shares of virtual stocks. These stocks represent a bet on the outcome of future market situations, and their value depends on the realization of these market situations. In this process, a virtual stock market elicits and aggregates the assessments of its participants concerning future market developments. Virtual stock markets might also serve as a feasible instrument to filter out lead users, primarily for the following two reasons. First, a self-selection effect might occur because sophisticated consumers with a higher involvement in the product of interest decide to participate in virtual stock markets. Second, a performance effect is likely to arise because well-performing participants in virtual stock markets show a better understanding of the market than their (already self-selected) fellow participants. So far, only limited information exists about these two effects and their relation to lead user characteristics. The goal of this paper is to analyze the feasibility of virtual stock markets for the identification of lead users. The results of this empirical study show that virtual stock markets can be an effective instrument to identify lead users in consumer products markets. Furthermore, the results show that not all lead users perform well in virtual stock markets. Hence, virtual stock markets allow identifying lead users with superior abilities to forecast market success.","['nanOPINION LEADERSHIP', 'PERFORMANCE', 'ORIENTATION', 'INFORMATION', 'INNOVATION', 'KNOWLEDGE', 'MODEL']","['performance', 'information', 'knowledge']",experts selection
"This paper investigates how corruption in the institutional environment influences firms' decisions to obtain third-party certification to private management standards as signals of desirable conduct. We argue that policy-specific corruption erodes trust in government efforts to regulate firms' conduct, thus increasing the signaling value of private certifications and the likelihood of certification. However, widespread corruption in the general environment can extend distrust to private certification systems, which reduces the credibility and signaling value of private certifications, thus decreasing the likelihood that firms obtain certification. Our empirical results based on ISO 14001 environmental management system certification among 433 automotive plants in Mexico confirm these relationships. We discuss the implications of our findings for transaction cost economics, institutional theory, research, and practice. Copyright (c) 2012 John Wiley & Sons, Ltd.","['corruption', 'information asymmetry', 'private certification', 'environmental management systems', 'MexicoFIRM SELF-REGULATION', 'DETERMINANTS', 'INSTITUTIONS', 'PERCEPTIONS', 'ISO-14001']","['corruption', 'private certification', 'private certification', 'iso 14001', 'iso 14001']",corruption environment economics
"This study empirically examined the extent to which outsourcing of both peripheral and near-core tasks influences firms' financial and nonfinancial performance. In addition, the potential moderating effects of firm strategy, and the environment on the outsourcing-performance relationship were examined. Results indicate that, whereas there was no significant direct effect of outsourcing on firm performance, both firm strategy and environmental dynamism moderated the relationship between outsourcing and performance. (C) 2000 Elsevier Science Inc. All rights reserved.","['nanCOMPETITIVE ADVANTAGE', 'VERTICAL INTEGRATION', 'STRATEGY', 'ARCHETYPES', 'INDUSTRY']",['strategy'],outsourcing environment
"With the relationship between entrepreneurial orientation (EO) and firm performance having broad scholarly acceptance, researchers are now delving with increased focus into the contextual factors that change the nature of the relationship between EO and various manifestations of organizational performance. In this vein, this study adopts the resource based view and investigates the moderating influence of firm age and intangible resources on the EO-firm growth relationship among small to medium sized enterprises (SMEs) in Japan. Further, we propose a three-way interactive model between EO, firm age, and intangible resources to better identify entrepreneurial configurations that promote superior SME growth. (C) 2011 Elsevier Inc. All rights reserved.","['Entrepreneurial orientation', 'Firm growth', 'Firm age', 'Intangible resources', 'Configurational modelSTRATEGIC MANAGEMENT', 'BUSINESS PERFORMANCE', 'VIEW', 'SLACK', 'CAPABILITIES', 'SUGGESTIONS', 'PERSPECTIVE', 'DEPENDENCE', 'FRAMEWORK', 'NEWNESS']","['entrepreneurial orientation', 'entrepreneurial orientation', 'firm growth', 'firm growth', 'firm age', 'firm age', 'intangible resources', 'intangible resources', 'view']",entrepreneurial orientation firm performance view growth
"This paper examines contracting between a principal and an agent from the perspective of both social exchange theory and rational choice theory. Two experiments were conducted that tested competing predictions from the two theories. The first study examined effort decisions made by an agent under a series of contracts that varied in social context and compensation structure. The second experiment examined the negotiation of a compensation scheme between a principal and an agent and the agent's subsequent contract fulfillment, to test the mediating effects of verbal communication between parties on contracting and contract fulfillment. Both studies yielded results consistent with social exchange theory. Exchange theory appears to provide a better basis for deriving principles of organization design than rational choice.","['nanCEO PAY', 'COMPENSATION', 'RISK', 'PERFORMANCE', 'RECIPROCITY', 'TRUST', 'INCENTIVES', 'PSYCHOLOGY', 'CONTRACTS', 'BEHAVIOR']","['compensation', 'contracts']",communication
"Research Summary In this paper, we contribute to research on networks and innovation by distinguishing between instrumental and affective ties and assessing their impact on individual innovativeness. In particular, using original data from the corporate R&D laboratory of a global pharmaceutical company, we evaluate how a specific structural arrangement (i.e., belonging to a clique) affects inventors' innovative productivity. Our results show that both instrumental/knowledge-sharing cliques and affective/friendship cliques correlate positively with inventors' innovative productivity. However, we also observe that when inventors straddle knowledge-sharing and friendship cliques, their innovative productivity declines. Managerial Summary Firms competing in knowledge-intensive industries rely on the productivity of their inventors to develop innovations. Within these firms, inventors' innovative productivity is influenced by the people they interact with and by the benefits and costs associated with maintaining these relationships. We find that inventors' innovative productivity is enhanced by having strong and embedded relationships with their colleagues, regardless of these relationships being based on knowledge-sharing ties or friendship ties. However, when inventors are caught in between strong knowledge-sharing ties and strong friendship ties, their innovative productivity suffers, ultimately hampering the firm's innovative capabilities.","['affective ties', 'embedded triads', 'individual level', 'innovative performance', 'instrumental tiesKNOWLEDGE TRANSFER', 'SOCIAL NETWORKS', 'WEAK TIES', 'CREATIVITY', 'ORGANIZATIONS', 'PERFORMANCE', 'COMPETENCE', 'GENERATION', 'BROKERAGE', 'STRENGTH']","['affective ties', 'affective ties']",networks innovation affective ties friendship
"This study examines the relationship between CEO external directorate networks and CEO compensation. Drawing on previous research showing a link between executives' external networks, firm strategy, and performance, the study argues that executive external networks are strategically valuable to firms; thus, they should be reflected in executive compensation. The study further examines whether firm diversification, with its elevated demand for strategic resources, moderates the relationship between CEO external directorate networks and pay. Hypotheses are tested using a sample of 460 Fortune 1000 firms. Analyses reveal that the rewards to CEO external directorate networks are contingent upon the firm's level of diversification. Implications for future research and practice are discussed. Copyright (C) 2001 John Wiley & Sons, Ltd.","['CEO compensation', 'executive networks', 'social capital', 'strategic leadershipRESOURCE-BASED VIEW', 'SOCIAL NETWORKS', 'UNCERTAINTY', 'INTERLOCKS', 'CENTRALITY']","['ceo compensation', 'ceo compensation']",ceo external directorate networks ceo compensation firm diversification
"Previous researchers have questioned whether the association between high-performance work systems (HPWS) and organizational performance indicates causality. Strategic human resource management theories, including the resource-based view of the firm and the behavioral perspective, have provided explanations linking human resource management practices to organizational performance. We add arguments based upon general systems theory to suggest a more complex relationship where performance provides feedback on HPWS in the form of information and resources. This feedback generates both the data and the slack resources needed to support an adaptive process of HPWS implementation. We test the causal associations between HPWS and performance using a large longitudinal data set with three time points. Findings showed that past HPWS positively contributes to later productivity as well as the reverse. The reciprocal relationship supports the need to extend strategic human resource management theory by considering productivity as an antecedent as well as an outcome of human resource management practices.","['strategic human resource management', 'high-performance work systems', 'causality', 'general systems theory', 'human resources', 'productivityHUMAN-RESOURCE MANAGEMENT', 'FIRM PERFORMANCE', 'COMPETITIVE ADVANTAGE', 'MEASUREMENT INVARIANCE', 'FINANCIAL PERFORMANCE', 'EMPLOYEE INVOLVEMENT', 'INDUSTRIAL-RELATIONS', 'MEASUREMENT ERROR', 'LONGITUDINAL DATA', 'HRM']","['strategic human resource management', 'strategic human resource management', 'strategic human resource management', 'strategic human resource management', 'high performance work systems', 'high performance work systems', 'high performance work systems', 'high performance work systems', 'causality', 'general systems theory', 'general systems theory', 'general systems theory', 'longitudinal data', 'longitudinal data']",high performance work systems view firm behavioral perspective systems slack resources
"Although customer complaints are a well-studied aspect of business, no study has measured the impact of actual complaints and recoveries on subsequent customer purchasing. The authors develop a customer base model to investigate the effectiveness of recovery in preventing customer churn. They calibrate it on panel data that track actual purchases, complaints, and recoveries for 20,000 new customers of an Internet and catalog retailer over 2.5 years. Complaints are associated with a substantial increase in the probability that the customer stops buying, but the size of the increase depends on prior customer experiences: prior purchases mitigate the effect, and their impact is long-lasting, whereas prior complaints exacerbate the effect, but their impact is short-lived. Thus, unless the customer leaves the company after a complaint, or a second failure occurs shortly after the first, the relationship quickly returns to normal. Recovery counters the effect of the complaint but, in almost all cases, does not entirely offset it. The authors use simulation to translate the results to financial impact and discuss implications for researchers and managers.","['complaints', 'complaint management', 'churn', 'failure', 'recoverySELF-GENERATED VALIDITY', 'SERVICE RECOVERY', 'SATISFACTION', 'IMPACT', 'BEHAVIOR', 'FAILURE', 'MODEL', 'EXPERIENCES', 'INTENTIONS', 'PARADOX']","['complaints', 'churn', 'failure', 'impact', 'failure', 'model', 'experiences']",complaints model simulation
"Building on the theoretical argument that a firm's ability to profit from social responsibility depends upon its stakeholder influence capacity (SIC), we bring together contrasting literatures on the relationship between corporate social performance (CSP) and corporate financial performance (CFP) to hypothesize that the CSP-CFP relationship is U-shaped. Our results support this hypothesis. We find that firms with low CSP have higher CFP than firms with moderate CSP, but firms with high CSP have the highest CFP. This supports the theoretical argument that SIC underlies the ability to transform social responsibility into profit. Copyright (C) 2012 John Wiley & Sons, Ltd.","['corporate social performance', 'corporate financial performance', 'stakeholder influence capacity', 'stakeholder theory', 'business caseSTAKEHOLDER THEORY', 'FIRM PERFORMANCE', 'CORPORATE', 'RESPONSIBILITY', 'MANAGEMENT', 'CAPACITY']","['corporate social performance', 'corporate social performance', 'corporate social performance', 'corporate financial performance', 'corporate financial performance', 'corporate financial performance', 'stakeholder influence capacity', 'stakeholder influence capacity', 'stakeholder influence capacity', 'corporate', 'responsibility', 'capacity']",social responsibility stakeholder influence capacity corporate social performance csp cfp
"Despite increasing attention to the role of social ties in emerging economies, few studies have explicitly distinguished the differential roles of business versus political ties. Drawing on relational governance and institutional theories, this study offers a contingent view of business and political ties in China. The findings from a survey of 241 Chinese firms indicate that business ties have a stronger positive effect on performance than political ties, and both effects depend on institutional and market environments. Business ties are more beneficial when legal enforcement is inefficient and technology is changing rapidly, whereas political ties lead to greater performance when general government support is weak and technological turbulence is low. These findings indicate that firms operating in China should be cautious in their use of business and political ties and adapt their tie utilization to changing institutional and market environments.","['social ties', 'emerging economy', 'relational governance', 'institutional theory', 'institutional environment', 'guanxiMANAGERIAL TIES', 'EXECUTIVE INSIGHTS', 'SOCIAL-STRUCTURE', 'INNOVATION', 'GOVERNANCE', 'LEGITIMACY', 'ALLIANCES', 'STRATEGY', 'VENTURES', 'GUANXI']","['social ties', 'social ties', 'relational governance', 'relational governance', 'governance']",social ties
"Previous internationalization studies have focused on the entry modes employed by multinational firms but have not considered the contractual heterogeneity that underlies each mode. It is important to examine these contractual details, as the firm may be able to obtain some of the benefits typically associated with one entry mode while selecting another. In the case of international mergers and acquisitions (M&As), a key contractual variable is whether the parties agree to a performance-contingent payout structure, which can mitigate the risk of adverse selection. In this paper, we examine the antecedents of contingent payouts in the form of earnouts and stock payments. The results indicate that firms lacking international and domestic acquisition experience turn to contingent payouts when purchasing targets in high-tech and service industries. Firms tend to avoid contingent payouts in host countries with problems with investor protection and legal enforceability. Journal of International Business Studies.","['contingent earnouts', 'international mergers and acquisitions', 'adverse selectionNATIONAL CULTURAL DISTANCE', 'CROSS-BORDER ACQUISITIONS', 'FOREIGN DIRECT-INVESTMENT', 'JOINT-VENTURES', 'UNITED-STATES', 'CORPORATE ACQUISITIONS', 'ASYMMETRIC INFORMATION', 'SHAREHOLDER WEALTH', 'ACQUIRING FIRMS', 'MARKET ENTRY']","['international mergers and acquisitions', 'international mergers and acquisitions', 'international mergers and acquisitions', 'international mergers and acquisitions']",modes firms mergers and acquisitions performance
"The paper expands our understanding of how exchange partners, particularly customers, can dominate young firms. Using a grounded theory approach, it discovers that young firms operating in different competitive contexts identify three distinct types of dominance: dominance over innovation, dominance over selling and order filling capacity and dominance over total sales. Data analysis suggests that there are different antecedents and consequences of each type of dominance. The paper discusses the implications of the findings and suggests refinements to our current understanding of dominant exchange partners of young firms. (C) 2003 Elsevier Inc. All rights reserved.","['exchange partners', 'firms', 'innovation', 'salesRESOURCE-BASED VIEW', 'GOVERNANCE', 'NETWORKS', 'EMBEDDEDNESS', 'ENVIRONMENTS', 'ALLIANCES', 'FAILURE', 'BENEFIT']","['exchange partners', 'exchange partners', 'firms', 'innovation']",customers
"Most prior research on bundling from a consumer perspective has focused on how bundles are processed, particularly from a prospect theory or mental accounting perspective. In contrast, relatively little research has examined the factors that might drive consumer preference for bundles versus individual items. This article addresses one such factor: the potential to reduce search and assembly costs. Through exploratory interviews and two laboratory experiments, the authors show that preference for a bundle is greater when bundle choice will reduce search effort than when it will not, particularly among consumers who are less motivated to process information.","['bundling', 'product bundles', 'search costs', 'perceived value', 'consumer choice', 'information processing', 'need for cognitionPRICE', 'INFORMATION', 'DECISION', 'MODEL', 'SERVICES', 'BEHAVIOR', 'CHOICE', 'TIME']","['bundling', 'information', 'choice']",prospect choice
"This study draws on the behavioral theory of the firm to the postulate relationships between organizational slack and performance aspirations, and internationalization processes. Based on longitudinal data (2000-2008) from 772 publicly listed firms in Taiwan, the findings indicate that organizational slack significantly influences the internationalization processes. Specifically, firms with high organizational slack that have performance that falls below aspirations managers are more likely to exhibit (1) a rapid pace, (2) a wider scope, and (3) an irregular rhythm in their internationalization processes. In addition, we observed an interaction effect between performance feedback and different levels of slack on the internationalization processes. (C) 2013 Elsevier Inc. All rights reserved.","['Behavioral theory of the firm (BOTF)', 'Organizational slack', 'Performance feedback', 'Internationalization processesRESEARCH-AND-DEVELOPMENT', 'RISK-TAKING', 'ASPIRATION PERFORMANCE', 'STRATEGIC PERSISTENCE', 'FIRM PERFORMANCE', 'TEAM DIVERSITY', 'EXPANSION', 'SEARCH', 'MODEL', 'DIVERSIFICATION']","['organizational slack', 'organizational slack', 'performance feedback', 'performance feedback']",behavioral theory of the firm organizational slack performance aspirations
"Research suggests that entrepreneurs tend to seek to maximize utility when considering whether to pursue a new venture opportunity. However, when choosing whether to persist with their current venture or not, utility maximization may not be of primary importance. Using a conjoint experiment, this article examines the difference between policies in start-up decisions versus persistence decisions. The analysis of the decisions of 135 entrepreneurs indicates that the manner in which entrepreneurs use expectancy and value in persistence decision policies is significantly different to the way that they use expectancy and value in general opportunity pursuit decision policies. The results offer novel insights into the entrepreneurial decision-making process.","['decision-making', 'entrepreneurship', 'expectancy', 'persistenceCONJOINT-ANALYSIS', 'PORTFOLIO ENTREPRENEURS', 'NASCENT ENTREPRENEURS', 'BUSINESS', 'GROWTH', 'FIRMS', 'UNCERTAINTY', 'EXPERIENCE', 'INTENTIONS', 'MOTIVATION']","['decision making', 'decision making', 'expectancy']",decisions decision making
"While research on conspicuous consumption has typically analyzed how people spend money on products that signal status, this article investigates conspicuous consumption in relation to time. The authors argue that a busy and overworked lifestyle, rather than a leisurely lifestyle, has become an aspirational status symbol. A series of studies shows that the positive inferences of status in response to busyness and lack of leisure time are driven by the perceptions that a busy person possesses desired human capital characteristics (e.g., competence and ambition) and is scarce and in demand in the job market. This research uncovers an alternative kind of conspicuous consumption that operates by shifting the focus from the preciousness and scarcity of goods to the preciousness and scarcity of individuals. Furthermore, the authors examine cultural values (perceived social mobility) and differences among cultures (North America vs. Europe) to demonstrate moderators and boundary conditions of the positive associations derived from signals of busyness.","['conspicuous consumption', 'time spending', 'status signaling', 'work versus leisure', 'social mobilitySOCIAL-STATUS', 'CULTURE', 'SIGNALS', 'BRAND', 'WOMEN', 'REDISTRIBUTION', 'PREFERENCES', 'INEQUALITY', 'HAPPINESS', 'CONSUMER']","['conspicuous consumption', 'conspicuous consumption', 'culture', 'signals']",conspicuous consumption time lifestyle
"Purpose - The article deals with issues such as the size of a purchasing group, the types of benefits aimed for, and the real beneficiaries of purchasing groups. Design/methodology/approach - The observations are based on the literature, as well as on interviews, mostly with Canadian and US health-care managers. Findings - Although often associated with the public sector, purchasing groups are also an alternative considered more and more by managers of the private sector. A purchasing group increases volume consolidation, making it possible to have only one negotiation, in order to increase the purchasing group members' power vis-a-vis that of its suppliers. However, a purchasing group also constitutes an additional link in the supply chain and its objectives could go contrary to those of some of its members. This is why organisations considering joining a purchasing group should analyse this option strategically, in order to assess correctly the potential long-term benefits. Originality/value - This article suggests key questions and an analytical framework to help managers assess the potential benefits and drawbacks of joining a purchase group.","['purchasing groups', 'procurement', 'structuresnan']","['purchasing groups', 'purchasing groups']",
"This paper examines the nature of the core capabilities of a firm, focusing in particular on their interaction with new product and process development projects. Two new concepts about core capabilities are explored here. First, while core capabilities are traditionally treated as clusters of distinct technical systems, skills, and managerial systems, these dimensions of capabilities are deeply rooted in values, which constitute an often overlooked but critical fourth dimension. Second, traditional core capabilities have a down side that inhibits innovation, here called core rigidities. Managers of new product and process development projects thus face a paradox: how to take advantage of core capabilities without being hampered by their dysfunctional flip side. Such projects play an important role in emerging strategies by highlighting the need for change and leading the way. Twenty case studies of new product and process development projects in five firms provide illustrative data.","['CORE CAPABILITIES', 'INNOVATION', 'NEW PRODUCT DEVELOPMENTDISTINCTIVE COMPETENCE', 'COMPETITIVE ADVANTAGE', 'IMPLEMENTATION', 'PERFORMANCE', 'INNOVATION', 'MANAGEMENT', 'STRATEGY', 'INDUSTRY', 'DESIGN']","['core capabilities', 'core capabilities', 'innovation', 'innovation']",firm innovation
"Purpose - The purpose of this paper is to develop a validated measurement model and typology for chain digitisation maturity, defined as the degree of interorganisational collaboration through ICT. Design/methodology/approach - Through a literature (meta) study, 22 existing maturity models are found and analysed, on the basis of which an integrated framework is developed. This framework is subsequently applied to interorganisational collaboration within the Dutch retail sector (i.e. retailers and their wholesalers, manufacturers, customers, and trade organisations). The measurement model is tested by determining the chain digitisation level of 24 different retail sub-sectors (branches) through desk research, interviews, and surveys. Data are collected at the level of the branch, mainly through representatives of trade organisations. Findings - The framework (i.e. measurement model) appears to be applicable to describing the Dutch retail sector and comparing its branches, providing both expected and new insights. The typology supports the vision of the combination of two dimensions: the level of technology and the level of organisation. Research limitations/implications - The framework has been applied to the (Dutch) retail sector only. It seems suitable for application to other sectors as well. Practical implications - The empirical application provides an extended view of the current situation of the (Dutch) retail sector with regard to chain digitisation. On this basis, a roadmap can be derived to support the adoption and deployment of chain digitisation among retail organisations. Originality/value - The framework for chain digitisation and the derived typology are of value to the SCM research community, as they are specifically developed and tested at the level of interorganisational chains.","['Information systems', 'Digital storage', 'Retailers', 'Small to medium-sized enterprises', 'The NetherlandsSUPPLY CHAIN', 'INFORMATION-TECHNOLOGY', 'INTEGRATION', 'MANAGEMENT', 'BUSINESS', 'PERFORMANCE', 'NETWORK', 'MODEL']","['retailers', 'model']",chain digitisation interorganisational collaboration ict retailers level technology
"Although marketers increasingly rely upon cause-related marketing strategies to increase sales, controversy exists regarding whether a retailer should partner with causes offering high or low fit levels with its core business practices. The present investigation extends prior research by examining how retailer-cause fit affects consumer evaluations of retailers' cause-related marketing strategies. The results indicate that the effects of retailer-cause fit are moderated by consumer perceptions of the retailer's motive for engaging in cause-related marketing (Study 1), by the affinity that consumers hold for the social cause component of the campaign (Study 2), as well as by the interactive effects associated with the two moderators (Study 3). (c) 2007 New York University. Published by Elsevier Inc. All rights reserved.","['cause-related marketing', 'retailer-cause fit', 'charitable contributions', 'corporate social responsibilityMOTIVATION', 'COMPANY']","['cause related marketing', 'cause related marketing', 'cause related marketing', 'retailer cause fit', 'retailer cause fit', 'retailer cause fit']",cause related marketing
"With the increasing popularity of visual-oriented social media platforms, the prevalence of visual brand-related User Generated Content (UGC) have increased. Monitoring such content is important as this visual brand-related UGC can have a large influence on a brand's image and hence provides useful opportunities to observe brand performance (e.g., monitoring trends and consumer segments). The current research discusses the application of computer vision for marketing practitioners and researchers and examines the usability of three different pre-trained ready-to-use computer vision models (i.e., YOLOV2, Google Cloud Vision, and Clarifai) to analyze visual brand-related UGC automatically. A 3-step approach was adopted in which 1) a database of 21,738 Instagram pictures related to 24 different brands was constructed, 2) the images were processed by the three different computer vision models, and 3) a label evaluation procedure was conducted with a sample of the labels (object names) outputted by the models. The results of the label evaluation procedure are quantitatively assessed and complemented with four concrete examples of how the output of computer vision can be used to analyze visual brand-related UGC. Results show that computer vision can yield various marketing insights. Moreover, we found that the three tested computer vision models differ in applicability. Google Cloud Vision is more accurate in object detection, whereas Clarifai provides more useful labels to interpret the portrayal of a brand. YOLOV2 did not prove to be useful to analyze visual brand-related UGC. Results and implications of the findings for marketers and marketing scholars will be discussed. (C) 2019 Direct Marketing Educational Foundation, Inc. dba Marketing EDGE. All rights reserved.","['Visual brand-related UGC', 'Computer vision', 'Pre-trained computer vision', 'Image mining', 'Automated content analysisSOCIAL MEDIA', 'CONSUMERS', 'EWOM']","['visual brand related ugc', 'visual brand related ugc', 'visual brand related ugc', 'visual brand related ugc', 'computer vision', 'computer vision']",user generated content
"In the context of online comparison shopping, the phenomenon of order effect and its impact has profound theoretical and practical significance, as many search engines and shopping portals offer paid placement and paid inclusion in search results. In this study, we investigate how order effects and other market competitive factors work together to attract consumers' attention to online vendors, which is manifested by the time spent on collecting more vendor information, and the probability of a vendor being included in a consumer's consideration set. We found that the effect of serial position of a vendor in a list is mediated by consumers' attention which in turn affects the probability of the vendor being accepted. (C) 2008 New York University. Published by Elsevier Inc. All rights reserved.","['Comparison shopping', 'Order effect', 'Consumer information search', 'Attention', 'Virtual locationCONSUMER DECISION-MAKING', 'WORD-OF-MOUTH', 'ELECTRONIC MARKETPLACES', 'SEARCH COSTS', 'INFORMATION', 'INTERNET', 'PRODUCT', 'CHOICE', 'PERSUASION', 'BEHAVIOR']","['comparison shopping', 'comparison shopping', 'order effect', 'order effect', 'attention', 'information']",comparison shopping order effect
"Past research on consumer price knowledge has varied considerably partly due to differences in how and when price knowledge is measured. This paper applies a multi-point, multi-measure approach to reconcile differences in past price knowledge research by examining systematic relationships between time of measurement and type of measures applied. Examination of consumer price knowledge before, during, and after store visit sheds light on what is measured at the individual points in time: episodic price knowledge and/or reference prices? With a between-subjects design interviewing 1,204 respondents, the authors investigate three price knowledge measures (price recall, price recognition, and deal spotting) demonstrating that these are hierarchically related. Results suggest that reference prices dominate before store visit, but also that episodic price knowledge, surprisingly, is still accessible at the store exit. These findings enable the authors to reconcile diverging results from past research, showing how consumer price knowledge evolves and suggesting that the vast majority of consumers learn about prices, whether consciously or unconsciously, during grocery shopping. Thus, when applying a multi-point, multi-measure approach, consumers appear to know more about prices than suggested by past research. Determinants of price knowledge are also examined and the results indicate that price knowledge builds up not only because of active search but also due to accidental exposure to prices and with low degrees of conscious processing. Implications for managers are discussed. (C) 2014 New York University. Published by Elsevier Inc. All rights reserved.","['Episodic price knowledge', 'Grocery shopping', 'Reference prices', 'Retail consumer behavior', 'Retail pricingEMPIRICAL-ANALYSIS', 'STORE', 'INFORMATION', 'CONSUMERS', 'SHOPPERS', 'SEARCH', 'RECALL', 'MARKET', 'BRAND', 'RECOGNITION']","['episodic price knowledge', 'episodic price knowledge', 'episodic price knowledge', 'grocery shopping', 'grocery shopping', 'reference prices', 'reference prices', 'store', 'consumers', 'search', 'recall', 'recognition']",time of measurement reference prices search
